eco,name,moves
A00,Mieses Opening: Myers Spike Attack,d2d3 g7g6 g2g4
A00,Mieses Opening: Reversed Rat,d2d3 e7e5
A00,Polish Opening,b2b4
A00,Polish Opening: Baltic Defense,b2b4 d7d5 c1b2 c8f5
A00,Polish Opening: Birmingham Gambit,b2b4 c7c5
A00,Polish Opening: Bugayev Advance Variation,b2b4 e7e5 c1b2 f7f6 b4b5
A00,Polish Opening: Bugayev Attack,b2b4 e7e5 a2a3
A00,Polish Opening: Czech Defense,b2b4 e7e5 c1b2 d7d6
A00,Polish Opening: Dutch Defense,b2b4 f7f5
A00,Polish Opening: German Defense,b2b4 d7d5 c1b2 d8d6
A00,Polish Opening: Grigorian Variation,b2b4 b8c6
A00,Polish Opening: Karniewski Variation,b2b4 g8h6
A00,Polish Opening: King's Indian Variation,b2b4 g8f6 c1b2 g7g6
A00,"Polish Opening: King's Indian Variation, Schiffler Attack",b2b4 g8f6 c1b2 g7g6 e2e4
A00,Polish Opening: Myers Variation,b2b4 d7d5 c1b2 c7c6 a2a4
A00,Polish Opening: Orangutan-Diemer Gambit,b2b4 d7d5 c1b2 d8d6 a2a3 e7e5 e2e4 d5e4 f2f3
A00,Polish Opening: Orangutan-Hartlaub Gambit,b2b4 g8f6 c1b2 e7e6 a2a3 c7c6 d2d3 a7a5 b4a5 d7d5 e2e4
A00,Polish Opening: Outflank Variation,b2b4 c7c6
A00,Polish Opening: Queen's Indian Variation,b2b4 e7e6 c1b2 g8f6 b4b5 b7b6
A00,Polish Opening: Queenside Defense,b2b4 e7e6 c1b2 g8f6 b4b5 a7a6
A00,Polish Opening: Rooks Swap Line,b2b4 e7e6 c1b2 g8f6 b4b5 a7a6 a2a4 a6b5 a4b5 a8a1 b2a1
A00,Polish Opening: Schiffler-Sokolsky Variation,b2b4 e7e6 c1b2 g8f6 b4b5 d7d5 e2e3
A00,Polish Opening: Schuehler Gambit,b2b4 c7c6 c1b2 a7a5 b4b5 c6b5 e2e4
A00,Polish Opening: Symmetrical Variation,b2b4 b7b5
A00,Polish Opening: Tartakower Gambit,b2b4 e7e5 c1b2 f7f6 e2e4
A00,"Polish Opening: Tartakower Gambit, Brinckmann Variation",b2b4 e7e5 c1b2 f7f6 e2e4 f8b4 f1c4 b8c6 f2f4 d8e7 f4f5 g7g6
A00,Polish Opening: Wolferts Gambit,b2b4 e7e5 c1b2 c7c5
A00,Saragossa Opening,c2c3
A00,Sodium Attack,b1a3
A00,Sodium Attack: Celadon Variation,b1a3 e7e5 d2d3 f8a3 b2a3 d7d5 e2e3 c7c5 a1b1
A00,Sodium Attack: Chenoboskion Variation,b1a3 g7g6 g2g4
A00,Sodium Attack: Durkin Gambit,b1a3 e7e5 a3c4 b8c6 e2e4 f7f5
A00,Valencia Opening,d2d3 e7e5 b1d2
A00,Van Geet Opening,b1c3
A00,Van Geet Opening: Battambang Variation,a2a3 e7e5 b1c3
A00,Van Geet Opening: Billockus-Johansen Gambit,b1c3 e7e5 g1f3 f8c5
A00,"Van Geet Opening: Caro-Kann Variation, St. Patrick's Attack",b1c3 d7d5 e2e4 c7c6 h2h3
A00,Van Geet Opening: Damhaug Gambit,b1c3 d7d5 f2f4 e7e5
A00,Van Geet Opening: Dougherty Gambit,b1c3 d7d5 e2e4 d5e4 f2f3
A00,Van Geet Opening: Dunst-Perrenet Gambit,b1c3 d7d5 e2e4 d5e4 d2d3
A00,Van Geet Opening: Düsseldorf Gambit,b1c3 c7c5 b2b4
A00,Van Geet Opening: Gladbacher Gambit,b1c3 e7e5 b2b3 d7d5 e2e4 d5e4 d2d3
A00,Van Geet Opening: Hector Gambit,b1c3 d7d5 e2e4 d5e4 f1c4
A00,Van Geet Opening: Hergert Gambit,b1c3 d7d6 f2f4 e7e5 f4e5 b8c6
A00,Van Geet Opening: Hulsemann Gambit,b1c3 e7e5 e2e3 d7d5 d1h5 c8e6
A00,Van Geet Opening: Jendrossek Gambit,b1c3 d7d5 f2f4 d5d4 c3e4 f7f5 e4f2 g8f6 g1f3 c7c5 b2b4
A00,Van Geet Opening: Kluever Gambit,b1c3 f7f5 e2e4 f5e4 d2d3
A00,Van Geet Opening: Laroche Gambit,b1c3 b7b5
A00,Van Geet Opening: Liebig Gambit,b1c3 e7e5 e2e3 d7d5 d1h5 g8f6
A00,Van Geet Opening: Melleby Gambit,b1c3 d7d5 f2f4 d5d4 c3e4 c7c5
A00,Van Geet Opening: Myers Attack,b1c3 g7g6 h2h4
A00,Van Geet Opening: Napoleon Attack,b1c3 e7e5 g1f3 b8c6 d2d4
A00,Van Geet Opening: Novosibirsk Variation,b1c3 c7c5 d2d4 c5d4 d1d4 b8c6 d4h4
A00,Van Geet Opening: Pfeiffer Gambit,b1c3 d7d5 f2f4 d5d4 c3e4 e7e5
A00,"Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit",b1c3 d7d5 f2f4 d5d4 c3e4 e7e5 g1f3
A00,Van Geet Opening: Reversed Nimzowitsch,b1c3 e7e5
A00,Van Geet Opening: Reversed Scandinavian,b1c3 e7e5 d2d4 e5d4 d1d4 b8c6 d4a4
A00,Van Geet Opening: Sicilian Two Knights,b1c3 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4
A00,Van Geet Opening: Sleipnir Gambit,b1c3 d7d5 e2e3 e7e5 d2d4 f8b4
A00,Van Geet Opening: Twyble Attack,b1c3 c7c5 a1b1
A00,Van Geet Opening: Tübingen Gambit,b1c3 g8f6 g2g4
A00,Van Geet Opening: Venezolana Variation,b1c3 d7d5 d2d3 g8f6 g2g3
A00,Van Geet Opening: Warsteiner Gambit,b1c3 d7d5 f2f4 g7g5
A00,Van't Kruijs Opening,e2e3
A00,Van't Kruijs Opening: Bouncing Bishop Variation,e2e3 e7e5 f1c4 b7b5 c4b3
A00,Van't Kruijs Opening: Keoni-Hiva Gambit Delayed,e2e3 d7d5 b1c3 g8f6 a2a3 e7e5 f2f4 e5f4 g1f3
A00,"Van't Kruijs Opening: Keoni-Hiva Gambit, Akahi Variation",e2e3 e7e5 b1c3 g8f6 f2f4 e5f4 g1f3
A00,"Van't Kruijs Opening: Keoni-Hiva Gambit, Alua Variation",e2e3 e7e5 b1c3 b8c6 f2f4 e5f4 g1f3
A00,"Van't Kruijs Opening: Keoni-Hiva Gambit, Ekolu Variation",e2e3 e7e5 b1c3 d7d5 f2f4 e5f4 g1f3
A00,Venezolana Opening,d2d3 c7c5 b1c3 b8c6 g2g3
A00,Ware Opening,a2a4
A00,Ware Opening: Cologne Gambit,a2a4 b7b6 d2d4 d7d5 b1c3 b8d7
A00,Ware Opening: Meadow Hay Trap,a2a4 e7e5 a1a3
A00,Ware Opening: Ware Gambit,a2a4 e7e5 a4a5 d7d5 e2e3 f7f5 a5a6
A00,Ware Opening: Wing Gambit,a2a4 b7b5 a4b5 c8b7
A00,Zukertort Opening: Reversed Mexican Defense,b1c3 d7d5 g1f3
A01,Nimzo-Larsen Attack,b2b3
A01,Nimzo-Larsen Attack: Classical Variation,b2b3 d7d5
A01,Nimzo-Larsen Attack: Dutch Variation,b2b3 f7f5
A01,Nimzo-Larsen Attack: English Variation,b2b3 c7c5
A01,Nimzo-Larsen Attack: Graz Attack,b2b3 d7d5 c1a3
A01,Nimzo-Larsen Attack: Indian Variation,b2b3 g8f6
A01,Nimzo-Larsen Attack: Modern Variation,b2b3 e7e5
A01,Nimzo-Larsen Attack: Modern Variation,b2b3 e7e5 c1b2
A01,Nimzo-Larsen Attack: Modern Variation,b2b3 e7e5 c1b2 b8c6
A01,Nimzo-Larsen Attack: Modern Variation,b2b3 e7e5 c1b2 b8c6 e2e3
A01,Nimzo-Larsen Attack: Pachman Gambit,b2b3 e7e5 c1b2 b8c6 f2f4
A01,Nimzo-Larsen Attack: Ringelbach Gambit,b2b3 f7f5 c1b2 e7e6 e2e4
A01,Nimzo-Larsen Attack: Spike Variation,b2b3 g8f6 c1b2 g7g6 g2g4
A01,Nimzo-Larsen Attack: Symmetrical Variation,b2b3 b7b6
A01,Nimzowitsch-Larsen Attack: Polish Variation,b2b3 b7b5
A02,Bird Opening,f2f4
A02,Bird Opening,f2f4 g8f6
A02,Bird Opening: Batavo-Polish Attack,f2f4 g8f6 g1f3 g7g6 b2b4
A02,Bird Opening: From's Gambit,f2f4 e7e5
A02,"Bird Opening: From's Gambit, Bahr Gambit",f2f4 e7e5 b1c3
A02,"Bird Opening: From's Gambit, Langheld Gambit",f2f4 e7e5 f4e5 d7d6 e5d6 g8f6
A02,"Bird Opening: From's Gambit, Lasker Variation",f2f4 e7e5 f4e5 d7d6 e5d6 f8d6 g1f3 g7g5
A02,"Bird Opening: From's Gambit, Lipke Variation",f2f4 e7e5 f4e5 d7d6 e5d6 f8d6 g1f3 g8h6 d2d4
A02,Bird Opening: Hobbs Gambit,f2f4 g7g5
A02,Bird Opening: Hobbs-Zilbermints Gambit,f2f4 h7h6 g1f3 g7g5
A02,Bird Opening: Horsefly Defense,f2f4 g8h6
A02,Bird Opening: Lasker Gambit,f2f4 e7e5 f4e5 f7f6
A02,Bird Opening: Mujannah,f2f4 g8f6 c2c4
A02,Bird Opening: Myers Defense,f2f4 b7b5
A02,Bird Opening: Platz Gambit,f2f4 e7e5 f4e5 g8e7
A02,Bird Opening: Schlechter Gambit,f2f4 e7e5 f4e5 b8c6
A02,Bird Opening: Siegener Gambit,f2f4 e7e5 d2d4 e5d4 g1f3 c7c5 c2c3
A02,Bird Opening: Swiss Gambit,f2f4 f7f5 e2e4 f5e4 b1c3 g8f6 g2g4
A02,Bird Opening: Wagner-Zwitersch Gambit,f2f4 f7f5 e2e4
A02,System: Double Duck Formation,f2f4 f7f5 d2d4 d7d5
A03,Bird Opening: Dutch Variation,f2f4 d7d5
A03,"Bird Opening: Dutch Variation, Dudweiler Gambit",f2f4 d7d5 g2g4
A03,Bird Opening: Lasker Variation,f2f4 d7d5 g1f3 g8f6 e2e3 c7c5
A03,Bird Opening: Sturm Gambit,f2f4 d7d5 c2c4
A03,Bird Opening: Thomas Gambit,f2f4 d7d5 b2b3 g8f6 c1b2 d5d4 g1f3 c7c5 e2e3
A03,Bird Opening: Williams Gambit,f2f4 d7d5 e2e4
A03,Bird Opening: Williams Gambit,f2f4 d7d5 e2e4 d5e4 b1c3 g8f6 d1e2
A03,Bird Opening: Williams-Zilbermints Gambit,f2f4 d7d5 e2e4 d5e4 b1c3 g8f6 g1e2
A04,Colle System: Rhamphorhynchus Variation,g1f3 c7c5 e2e3 g7g6 d2d4 f8g7 d4c5 d8a5
A04,"Modern Defense: Semi-Averbakh Variation, Polish Variation",g1f3 c7c5 c2c4 g7g6 d2d4 f8g7 e2e4 d8b6
A04,"Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation",g1f3 c7c5 c2c4 g7g6 d2d4 f8g7 e2e4 d8a5
A04,"Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Accepted",g1f3 g7g6 d2d4 f8g7 e2e4 d7d6 c2c4 c7c5 d4c5 d8a5
A04,Zukertort Opening,g1f3
A04,Zukertort Opening: Arctic Defense,g1f3 f7f6
A04,"Zukertort Opening: Arctic Defense, Drunken Knight Variation",g1f3 f7f6 e2e4 g8h6 d2d4 h6f7
A04,Zukertort Opening: Basman Defense,g1f3 h7h6
A04,Zukertort Opening: Black Mustang Defense,g1f3 b8c6
A04,Zukertort Opening: Drunken Cavalry Variation,g1f3 b8a6 e2e4 g8h6
A04,Zukertort Opening: Dutch Variation,g1f3 f7f5
A04,Zukertort Opening: Herrstrom Gambit,g1f3 g7g5
A04,Zukertort Opening: Kingside Fianchetto,g1f3 g7g6
A04,Zukertort Opening: Lisitsyn Gambit,g1f3 f7f5 e2e4
A04,Zukertort Opening: Lisitsyn Gambit Deferred,g1f3 f7f5 d2d3 g8f6 e2e4
A04,Zukertort Opening: Pirc Invitation,g1f3 d7d6
A04,Zukertort Opening: Polish Defense,g1f3 b7b5
A04,Zukertort Opening: Queen's Gambit Invitation,g1f3 e7e6
A04,Zukertort Opening: Queenside Fianchetto Variation,g1f3 b7b6
A04,Zukertort Opening: Ross Gambit,g1f3 e7e5
