eco,name,moves
E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 f8b4
E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation, Modern Line",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 f8b4 c1g5 c8b7 f3d2
E12,Queen's Indian Defense,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6
E12,Queen's Indian Defense: Kasparov Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3
E12,"Queen's Indian Defense: Kasparov Variation, Botvinnik Attack",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 c1g5 h7h6 g5h4 g7g5 h4g3 f6h5
E12,Queen's Indian Defense: Kasparov-Petrosian Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Andersson Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 f6e4
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Classical Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 e6d5
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Hedgehog Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 g7g6
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Kasparov Attack",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 d1c2
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Main Line",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Marco Defense",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 f8e7
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Modern Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Petrosian Attack",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 e2e3
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Polovodin Gambit",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 e2e4
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Rashkovsky Attack",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 d1a4
E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Romanishin Attack",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 c1d2
E12,Queen's Indian Defense: Miles Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 c1f4
E12,Queen's Indian Defense: Petrosian Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3
E12,"Queen's Indian Defense: Petrosian Variation, Farago Defense",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8a6 d1c2 a6b7
E13,Queen's Indian Defense: Kasparov Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 f8b4 c1g5 h7h6 g5h4 c8b7
E14,Queen's Indian Defense: Spassky System,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3
E14,"Queen's Indian, Averbakh Variation",g1f3 c7c5 b2b3 g8f6 c1b2 e7e6 e2e3 f8e7 d2d4 e8g8 f1d3 b7b6 e1g1 c8b7 c2c4 c5d4 f3d4
E15,Queen's Indian Defense: Fianchetto Traditional,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7
E15,Queen's Indian Defense: Fianchetto Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3
E15,"Queen's Indian Defense: Fianchetto Variation, Check Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4
E15,"Queen's Indian Defense: Fianchetto Variation, Check Variation, Intermezzo Line",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 b4e7
E15,"Queen's Indian Defense: Fianchetto Variation, Check Variation, Modern Line",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 d8e7
E15,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6
E15,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation, Nimzowitsch Attack",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1a4
E15,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation, Quiet Line",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3
E15,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation, Timman's Line",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1b3
E15,"Queen's Indian Defense: Fianchetto Variation, Rubinstein Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 d4d5 e6d5 f3h4
E15,"Queen's Indian Defense: Fianchetto Variation, Sämisch Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5
E15,"Queen's Indian, Buerger Variation",g1f3 g8f6 c2c4 b7b6 d2d4 e7e6 g2g3 c8b7 f1g2 c7c5 d4d5 e6d5 f3g5
E16,Queen's Indian Defense: Capablanca Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4
E16,Queen's Indian Defense: Riumin Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4e7
E16,Queen's Indian Defense: Yates Variation,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 a7a5 g2g3 b7b6 f1g2 c8b7
E17,Queen's Indian Defense: Anti-Queen's Indian System,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3
E17,Queen's Indian Defense: Classical Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1
E17,"Queen's Indian Defense: Classical Variation, Polugaevsky Gambit",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 d4d5 e6d5 f3h4
E17,"Queen's Indian Defense: Classical Variation, Taimanov Gambit",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 d4d5 e6d5 f3d4
E17,Queen's Indian Defense: Euwe Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b2b3
E17,"Queen's Indian Defense: Fianchetto Variation, Kramnik Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 f1e1
E17,Queen's Indian Defense: Opocensky Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3 f6e4 c1d2
E17,Queen's Indian Defense: Traditional Variation,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7
E18,"Queen's Indian Defense: Classical Variation, Tiviakov Defense",g1f3 g8f6 c2c4 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 b1c3 e8g8 d2d4 b8a6
E18,"Queen's Indian Defense: Classical Variation, Traditional Variation",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3
E18,"Queen's Indian Defense: Classical Variation, Traditional Variation, Nimzowitsch Line",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 d7d5
E19,"Queen's Indian Defense: Classical Variation, Traditional Variation, Main Line",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 f6e4 d1c2 e4c3 c2c3
E20,Nimzo-Indian Defense,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4
E20,Nimzo-Indian Defense: Kmoch Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3
E20,Nimzo-Indian Defense: Mikenas Attack,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1d3
E20,Nimzo-Indian Defense: Romanishin Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g2g3
E21,Nimzo-Indian Defense: Romanishin Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 e8g8 f1g2
E21,"Nimzo-Indian Defense: Romanishin Variation, English Hybrid",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 c5d4 f3d4 e8g8 f1g2 d7d5 c4d5 f6d5
E21,Nimzo-Indian Defense: Three Knights Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3
E21,"Nimzo-Indian Defense: Three Knights Variation, Euwe Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 d4d5 f6e4
E21,"Nimzo-Indian Defense: Three Knights Variation, Korchnoi Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 d4d5
E21,"Nimzo-Indian Defense: Three Knights Variation, Shocron Gambit",d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 b1c3 c7c5 d4d5 b7b5
E22,Nimzo-Indian Defense: Spielmann Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3
E23,"Nimzo-Indian Defense: Spielmann Variation, Karlsbad Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 g1f3 f6e4 c1d2 e4d2
E23,"Nimzo-Indian Defense: Spielmann Variation, Romanovsky Gambit",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6
E23,"Nimzo-Indian Defense: Spielmann Variation, Stahlberg Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 g1f3 f6e4 c1d2 e4c5
E23,"Nimzo-Indian Defense: Spielmann Variation, Stahlberg Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 g1f3 f6e4 c1d2 e4c5 b3c2 f7f5 g2g3
E24,"Nimzo-Indian Defense: Sämisch Variation, Accelerated",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3
E24,"Nimzo-Indian Defense: Sämisch Variation, Botvinnik Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c5 e2e3 e8g8 c4d5 f6d5
E25,Nimzo-Indian Defense: Sämisch Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c5 c4d5
E25,"Nimzo-Indian Defense: Sämisch Variation, Keres Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c5 c4d5 f6d5 d4c5
E25,"Nimzo-Indian Defense: Sämisch Variation, Romanovsky Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c5 c4d5 f6d5 d4c5 f7f5
