eco,name,moves
C02,"French Defense: Advance Variation, Steinitz Variation",e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 d4c5
C02,"French Defense: Advance Variation, Wade Variation",e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 d8b6 g1f3 c8d7
C03,"French Defense: Guimard Variation, Thunderbunny Variation",e2e4 e7e6 d2d4 d7d5 b1d2 b8c6 c2c3 d5e4 d2e4 e6e5
C03,French Defense: Tarrasch Variation,e2e4 e7e6 d2d4 d7d5 b1d2
C03,"French Defense: Tarrasch Variation, Guimard Defense",e2e4 e7e6 d2d4 d7d5 b1d2 b8c6
C03,"French Defense: Tarrasch Variation, Haberditz Variation",e2e4 e7e6 d2d4 d7d5 b1d2 f7f5
C03,"French Defense: Tarrasch Variation, Modern System",e2e4 e7e6 d2d4 d7d5 b1d2 a7a6
C03,"French Defense: Tarrasch Variation, Morozevich Variation",e2e4 e7e6 d2d4 d7d5 b1d2 f8e7
C04,"French Defense: Tarrasch Variation, Guimard Defense, Main Line",e2e4 e7e6 d2d4 d7d5 b1d2 b8c6 g1f3 g8f6
C05,"French Defense: Tarrasch Variation, Botvinnik Variation",e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b7b6
C05,"French Defense: Tarrasch Variation, Closed Variation",e2e4 e7e6 d2d4 d7d5 b1d2 g8f6
C05,"French Defense: Tarrasch Variation, Closed Variation",e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6
C05,"French Defense: Tarrasch Variation, Pawn Center Variation",e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4
C06,"French Defense: Tarrasch Variation, Closed Variation, Main Line",e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 c5d4 c3d4
C06,"French Defense: Tarrasch Variation, Leningrad Variation",e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 c5d4 c3d4 d7b6
C07,"French Defense: Tarrasch Variation, Chistyakov Defense",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5
C07,"French Defense: Tarrasch Variation, Chistyakov Defense, Modern Line",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6
C07,"French Defense: Tarrasch Variation, Eliskases Variation",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d8
C07,"French Defense: Tarrasch Variation, Open System",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5
C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3
C07,"French Defense: Tarrasch Variation, Open System, Shaposhnikov Gambit",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 g8f6
C07,"French Defense: Tarrasch Variation, Open System, Süchting Line",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 c2c3
C08,"French Defense: Tarrasch Variation, Open System",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5
C08,"French Defense: Tarrasch Variation, Open System, Advance Line",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 c5c4
C09,"French Defense: Tarrasch Variation, Open System, Main Line",e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 b8c6
C10,"French Defense: Classical Variation, Svenonius Variation",e2e4 e7e6 d2d4 d7d5 b1c3 b8c6 e4d5
C10,French Defense: Paulsen Variation,e2e4 e7e6 d2d4 d7d5 b1c3
C10,French Defense: Rubinstein Variation,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4
C10,"French Defense: Rubinstein Variation, Blackburne Defense",e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7
C10,"French Defense: Rubinstein Variation, Capablanca Line",e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 g1f3 g8f6 e4f6 d7f6 f3e5
C10,"French Defense: Rubinstein Variation, Ellis Gambit",e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 e6e5
C10,"French Defense: Rubinstein Variation, Fort Knox Variation",e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 c8d7 g1f3 d7c6
C10,"French Defense: Rubinstein Variation, Kasparov Attack",e2e4 e7e6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 g1f3 g8f6 e4f6 d7f6 c2c3
C10,"French Defense: Rubinstein Variation, Maric Variation",e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 d8d5
C10,Sicilian Defense: Marshall Gambit,e2e4 c7c5 b1c3 e7e6 d2d4 d7d5
C11,French Defense: Burn Variation,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5
C11,French Defense: Classical Variation,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6
C11,"French Defense: Classical Variation, Burn Variation, Main Line",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 e7f6 g1f3 e8g8
C11,"French Defense: Classical Variation, Burn Variation, Morozevich Line",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 g7f6
C11,"French Defense: Classical Variation, Delayed Exchange Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4d5
C11,"French Defense: Classical Variation, Steinitz Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5
C11,"French Defense: Classical Variation, Swiss Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 f1d3
C11,French Defense: Henneberger Variation,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1e3
C11,French Defense: Steinitz Variation,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 d4c5 b8c6
C11,French Defense: Steinitz Variation,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3
C11,"French Defense: Steinitz Variation, Bradford Attack Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 d4c5 f8c5 d1g4
C11,"French Defense: Steinitz Variation, Brodsky-Jones Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 d4c5 b8c6 a2a3 f8c5 d1g4 e8g8 g1f3 f7f6
C11,"French Defense: Steinitz Variation, Gledhill Attack",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 d1g4
C12,French Defense: MacCutcheon Variation,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4
C12,"French Defense: MacCutcheon Variation, Advance Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5
C12,"French Defense: MacCutcheon Variation, Bernstein Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5h4
C12,"French Defense: MacCutcheon Variation, Bogoljubov Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4d5 d8d5 g5f6 g7f6 d1d2 d5a5
C12,"French Defense: MacCutcheon Variation, Chigorin Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 e5f6
C12,"French Defense: MacCutcheon Variation, Dr. Olland (Dutch) Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5c1
C12,"French Defense: MacCutcheon Variation, Duras Variation",e2e4 e7e6 b1c3 d7d5 d2d4 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3 b2c3 f6e4 d1g4 e8f8 d2c1
C12,"French Defense: MacCutcheon Variation, Exchange Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4d5
C12,"French Defense: MacCutcheon Variation, Grigoriev Variation",d2d4 d7d5 b1c3 g8f6 c1g5 e7e6 e2e4 f8b4 e4e5 h7h6 e5f6 h6g5 f6g7 h8g8 h2h4 g5h4 d1g4
C12,"French Defense: MacCutcheon Variation, Janowski Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5e3
C12,"French Defense: MacCutcheon Variation, Lasker Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3
C12,"French Defense: MacCutcheon Variation, Lasker Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3 b2c3 f6e4 d1g4 g7g6
C12,"French Defense: MacCutcheon Variation, Tartakower Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 f6d7
C13,French Defense: Alekhine-Chatard Attack,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4
C13,"French Defense: Alekhine-Chatard Attack, Albin-Chatard Gambit",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 e7g5 h4g5 d8g5
C13,"French Defense: Alekhine-Chatard Attack, Breyer Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 c7c5
C13,"French Defense: Alekhine-Chatard Attack, Maróczy Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 a7a6
C13,"French Defense: Alekhine-Chatard Attack, Spielmann Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 e8g8
C13,"French Defense: Alekhine-Chatard Attack, Teichmann Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 f7f6
C13,"French Defense: Classical Variation, Frankfurt Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6g8 g5e3 b7b6
C13,"French Defense: Classical Variation, Normal Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7
C13,"French Defense: Classical Variation, Richter Attack",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6
C13,"French Defense: Classical Variation, Richter Attack",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6 e7f6 e4e5 f6e7 d1g4
C13,"French Defense: Classical Variation, Tartakower Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6e4
C13,"French Defense: Classical Variation, Vistaneckis (Nimzowitsch) Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6g8
C14,French Defense: Classical Variation,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7
C14,"French Defense: Classical Variation, Alapin Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 c3b5
C14,"French Defense: Classical Variation, Pollock Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 d1g4
C14,"French Defense: Classical Variation, Rubinstein Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 d1d2
C14,"French Defense: Classical Variation, Stahlberg Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f2f4 e8g8 g1f3 c7c5 d1d2 b8c6 e1c1 c5c4
C14,"French Defense: Classical Variation, Steinitz Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f2f4
C14,"French Defense: Classical Variation, Tarrasch Variation",e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f1d3
C15,"French Defense: MacCutcheon Variation, Wolf Gambit",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 g8f6 c1g5
C15,French Defense: Winawer Variation,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4
C15,"French Defense: Winawer Variation, Alekhine Gambit Accepted",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4c3
C15,"French Defense: Winawer Variation, Alekhine Gambit, Alatortsev Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4e7 c3e4 g8f6 e2g3 e8g8 f1e2 b8c6
C15,"French Defense: Winawer Variation, Alekhine Gambit, Kan Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4c3 e2c3 b8c6
C15,"French Defense: Winawer Variation, Alekhine-Maróczy Gambit",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2
C15,"French Defense: Winawer Variation, Delayed Exchange Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5
C15,"French Defense: Winawer Variation, Exchange Variation, Canal Attack",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 e6d5 f1d3 g8e7 d1h5
C15,"French Defense: Winawer Variation, Fingerslip Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2
C15,"French Defense: Winawer Variation, Fingerslip Variation, Kunin Double Gambit",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2 d5e4 d1g4 d8d4
C15,"French Defense: Winawer Variation, Fingerslip Variation, Main Line",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2 d5e4 d1g4 g8f6 g4g7 h8g8 g7h6
C15,"French Defense: Winawer Variation, Fingerslip Variation, Schwarz's Line",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2 g8e7 c3b1
C15,"French Defense: Winawer Variation, Kondratiyev Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 f1d3 c7c5 e4d5 d8d5 c1d2
C15,"French Defense: Winawer Variation, Winckelmann-Riemer Gambit",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 a2a3
C16,"French Defense: Winawer Variation, Advance Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5
C16,"French Defense: Winawer Variation, Petrosian Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 d8d7
C17,"French Defense: Winawer Variation, Advance Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5
C17,"French Defense: Winawer Variation, Advance Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3
C17,"French Defense: Winawer Variation, Advance Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 c5d4 a3b4 d4c3 g1f3
C17,"French Defense: Winawer Variation, Advance Variation, Moscow Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 d1g4
C17,"French Defense: Winawer Variation, Bogoljubov Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 c1d2
C17,"French Defense: Winawer Variation, Bogoljubov Variation, Icelandic Defense",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 c1d2 g8e7 f2f4
C17,"French Defense: Winawer Variation, Maróczy-Wallis Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 c5d4 a3b4 d4c3
C17,"French Defense: Winawer Variation, Retreat Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5
C17,"French Defense: Winawer Variation, Retreat Variation, Armenian Line",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5 b2b4 c5d4
C18,"French Defense: Winawer Variation, Advance Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3
C18,"French Defense: Winawer Variation, Classical Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 d8c7
C19,"French Defense: Winawer Variation, Advance Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7
C19,"French Defense: Winawer Variation, Advance Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 a3a4
C19,"French Defense: Winawer Variation, Poisoned Pawn Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4
C19,"French Defense: Winawer Variation, Poisoned Pawn Variation, Main Line",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 d8c7 g4g7 h8g8 g7h7 c5d4 g1e2
C19,"French Defense: Winawer Variation, Poisoned Pawn Variation, Paoli Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 d8c7 g4g7 h8g8 g7h7 c5d4 e1d1
C19,"French Defense: Winawer Variation, Positional Variation",e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 g1f3
C20,Barnes Opening: Walkerling,f2f3 e7e5 e2e4 g8f6 f1c4
C20,Bongcloud Attack,e2e4 e7e5 e1e2
C20,Center Game,e2e4 e7e5 d2d4
C20,English Opening: The Whale,e2e4 e7e5 c2c4
C20,King's Pawn Game,e2e4 e7e5
C20,King's Pawn Game: Alapin Opening,e2e4 e7e5 g1e2
C20,King's Pawn Game: Bavarian Gambit,e2e4 e7e5 c2c4 d7d5
C20,King's Pawn Game: Beyer Gambit,e2e4 e7e5 d2d4 d7d5
C20,"King's Pawn Game: Clam Variation, King's Gambit Reversed",e2e4 e7e5 d2d3 f7f5
C20,King's Pawn Game: King's Head Opening,e2e4 e7e5 f2f3
C20,King's Pawn Game: King's Head Opening,e2e4 e7e5 f2f3 g8f6 b1c3
C20,King's Pawn Game: Leonardis Variation,e2e4 e7e5 d2d3
C20,King's Pawn Game: Macleod Attack,e2e4 e7e5 c2c3
C20,"King's Pawn Game: Macleod Attack, Lasa Gambit",e2e4 e7e5 c2c3 f7f5
C20,"King's Pawn Game: Macleod Attack, Norwalde Gambit",e2e4 e7e5 c2c3 d7d5 d1h5 f8d6
C20,King's Pawn Game: Mengarini's Opening,e2e4 e7e5 a2a3
C20,King's Pawn Game: Napoleon Attack,e2e4 e7e5 d1f3
C20,King's Pawn Game: Philidor Gambit,e2e4 e7e5 d2d4 d7d6 d4e5 c8d7
C20,King's Pawn Game: Tortoise Opening,e2e4 e7e5 f1d3
C20,King's Pawn Game: Wayward Queen Attack,e2e4 e7e5 d1h5
C20,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",e2e4 e7e5 d1h5 g8f6
C20,"King's Pawn Game: Wayward Queen Attack, Mellon Gambit",e2e4 e7e5 d1h5 b8c6 f1c4 g8h6 d2d3 g7g6 h5f3 f7f6 g1e2 d7d5
C20,King's Pawn Game: Weber Gambit,e2e4 e7e5 d2d3 d7d5 e4d5 c7c6 d5c6 b8c6
C20,King's Pawn Opening,e2e4 e7e5 b2b3
C20,King's Pawn Opening: Speers,e2e4 e7e5 d1g4 g8f6 g4f5
C20,King's Pawn Opening: Van Hooydoon Gambit,e2e4 e7e5 d1e2 b8c6 c2c3 g8f6 g1f3 f8c5 d2d4 e5d4 c3d4 c6d4
C20,Portuguese Opening,e2e4 e7e5 f1b5
C20,Portuguese Opening: Miguel Gambit,e2e4 e7e5 f1b5 f8c5 b2b4
C20,Portuguese Opening: Portuguese Gambit,e2e4 e7e5 f1b5 g8f6 d2d4
C21,Center Game,e2e4 e7e5 d2d4 e5d4 d1d4
C21,Center Game Accepted,e2e4 e7e5 d2d4 e5d4
C21,Center Game: Halasz-McDonnell Gambit,e2e4 e7e5 d2d4 e5d4 f2f4
C21,"Center Game: Halasz-McDonnell Gambit, Crocodile Variation",e2e4 e7e5 d2d4 e5d4 f2f4 f8c5 g1f3 b8c6 c2c3
C21,Center Game: Kieseritzky Variation,e2e4 e7e5 d2d4 e5d4 g1f3
C21,Center Game: Kieseritzky Variation,e2e4 e7e5 d2d4 e5d4 g1f3 c7c5
C21,Center Game: Kieseritzky Variation,e2e4 e7e5 d2d4 e5d4 g1f3 c7c5 f1c4
C21,Center Game: Kieseritzky Variation,e2e4 e7e5 d2d4 e5d4 g1f3 c7c5 f1c4 b7b5
C21,Center Game: Lanc-Arnold Gambit,e2e4 e7e5 d2d4 e5d4 g1f3 f8c5 c2c3
C21,"Center Game: Lanc-Arnold Gambit, Schippler Gambit",e2e4 e7e5 d2d4 e5d4 g1f3 f8c5 c2c3 d4c3 f1c4
C21,Center Game: Ross Gambit,e2e4 e7e5 d2d4 e5d4 f1d3
