eco,name,moves
B00,Nimzowitsch Defense: Wheeler Gambit,e2e4 b8c6 b2b4
B00,Nimzowitsch Defense: Williams Variation,e2e4 b8c6 g1f3 d7d6
B00,Nimzowitsch Defense: Woodchuck Variation,e2e4 b8c6 d2d4 a7a6
B00,Owen Defense,e2e4 b7b6
B00,Owen Defense: Hekili-Loa Gambit,e2e4 b7b6 d2d4 c7c5 d4c5 b8c6
B00,Owen Defense: Matovinsky Gambit,e2e4 b7b6 d2d4 c8b7 f1d3 f7f5 e4f5 b7g2 d1h5 g7g6
B00,Owen Defense: Naselwaus Gambit,e2e4 b7b6 d2d4 c8b7 c1g5
B00,Owen Defense: Smith Gambit,e2e4 b7b6 d2d4 c8b7 g1f3
B00,Owen Defense: Unicorn Variation,e2e4 f7f6 d2d4 b7b6 c2c4 c8b7
B00,Owen Defense: Wind Gambit,e2e4 b7b6 d2d4 c8b7 f2f3 e7e5
B00,Pirc Defense,e2e4 d7d6
B00,Pirc Defense,e2e4 d7d6 d2d4
B00,Pirc Defense,e2e4 d7d6 d2d4 g8f6
B00,Pirc Defense: Roscher Gambit,e2e4 d7d6 d2d4 g8f6 g1f3
B00,Rat Defense: Antal Defense,e2e4 d7d6 d2d4 b8d7
B00,Rat Defense: Fuller Gambit,e2e4 d7d6 f2f4 d6d5 e4d5 g8f6
B00,Rat Defense: Harmonist,e2e4 d7d6 f2f4
B00,Rat Defense: Petruccioli Attack,e2e4 d7d6 h2h4
B00,Rat Defense: Spike Attack,e2e4 d7d6 g2g4
B00,St. George Defense,e2e4 a7a6
B00,St. George Defense: San Jorge Variation,e2e4 a7a6 d2d4 b7b5 g1f3 c8b7 f1d3 d7d6 e1g1 g7g6 c2c3 f8g7
B00,St. George Defense: Zilbermints Gambit,e2e4 a7a6 d2d4 e7e5
B00,Van Geet Opening: Berlin Gambit,e2e4 b8c6 d2d4 d7d5 b1c3 d5e4 d4d5
B00,Ware Defense,e2e4 a7a5
B00,Ware Defense: Snagglepuss Defense,e2e4 a7a5 d2d4 b8c6
B00,Zukertort Defense: Sicilian Knight Variation,e2e4 b8a6 g1f3 c7c5
B01,Scandinavian Defense,e2e4 d7d5
B01,Scandinavian Defense,e2e4 d7d5 b2b3
B01,Scandinavian Defense: Anderssen Counterattack,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5
B01,"Scandinavian Defense: Anderssen Counterattack, Collijn Variation",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 g1f3 c8g4
B01,"Scandinavian Defense: Anderssen Counterattack, Goteborg System",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 g1f3
B01,"Scandinavian Defense: Anderssen Counterattack, Orthodox Attack",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 d4e5 b8c6 g1f3 f8b4 c1d2
B01,Scandinavian Defense: Blackburne Gambit,e2e4 d7d5 e4d5 c7c6 d5c6 b8c6
B01,Scandinavian Defense: Blackburne-Kloosterboer Gambit,e2e4 d7d5 e4d5 c7c6
B01,Scandinavian Defense: Boehnke Gambit,e2e4 d7d5 e4d5 e7e5 d5e6 c8e6
B01,Scandinavian Defense: Bronstein Variation,e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 g8f6 g1f3 a7a6
B01,Scandinavian Defense: Classical Variation,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8f5
B01,Scandinavian Defense: Grünfeld Variation,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8f5 f3e5 c7c6 g2g4
B01,Scandinavian Defense: Gubinsky-Melts Defense,e2e4 d7d5 e4d5 d8d5 b1c3 d5d6
B01,Scandinavian Defense: Icelandic-Palme Gambit,e2e4 d7d5 e4d5 g8f6 c2c4 e7e6
B01,Scandinavian Defense: Kadas Gambit,e2e4 d7d5 e4d5 g8f6 d2d4 c7c6 d5c6 e7e5
B01,Scandinavian Defense: Kiel Variation,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b4
B01,Scandinavian Defense: Kloosterboer Gambit,e2e4 d7d5 e4d5 c7c6 d5c6 e7e5
B01,Scandinavian Defense: Lasker Variation,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8g4 h2h3
B01,Scandinavian Defense: Main Line,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5
B01,"Scandinavian Defense: Main Line, Leonhardt Gambit",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 b2b4
B01,"Scandinavian Defense: Main Line, Mieses Variation",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6
B01,Scandinavian Defense: Marshall Variation,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5
B01,Scandinavian Defense: Mieses-Kotroc Variation,e2e4 d7d5 e4d5 d8d5
B01,Scandinavian Defense: Modern Variation,e2e4 d7d5 e4d5 g8f6
B01,Scandinavian Defense: Modern Variation,e2e4 d7d5 e4d5 g8f6 d2d4
B01,"Scandinavian Defense: Modern Variation, Gipslis Variation",e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 c8g4
B01,"Scandinavian Defense: Modern Variation, Wing Gambit",e2e4 d7d5 e4d5 g8f6 d2d4 g7g6 c2c4 b7b5
B01,Scandinavian Defense: Panov Transfer,e2e4 d7d5 e4d5 g8f6 c2c4 c7c6
B01,Scandinavian Defense: Portuguese Variation,e2e4 d7d5 e4d5 g8f6 d2d4 c8g4
B01,"Scandinavian Defense: Portuguese Variation, Portuguese Gambit",e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f1b5 b8d7 f2f3 g4f5
B01,Scandinavian Defense: Richter Variation,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 g7g6
B01,Scandinavian Defense: Richter Variation,e2e4 d7d5 e4d5 g8f6 d2d4 g7g6
B01,Scandinavian Defense: Schiller-Pytel Variation,e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 c7c6
B01,"Scandinavian Defense: Schiller-Pytel Variation, Modern Variation",e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 g8f6 f1c4 c7c6 g1e2 c8f5 c1f4 d6b4
B01,Scandinavian Defense: Zilbermints Gambit,e2e4 d7d5 b2b4
B01,Van Geet Opening: Grünfeld Defense,e2e4 d7d5 b1c3 d5e4 c3e4 e7e5
B02,Alekhine Defense,e2e4 g8f6
B02,Alekhine Defense: Brooklyn Variation,e2e4 g8f6 e4e5 f6g8
B02,"Alekhine Defense: Brooklyn Variation, Everglades Variation",e2e4 g8f6 e4e5 f6g8 d2d4 f7f5
B02,Alekhine Defense: Buckley Attack,e2e4 g8f6 e4e5 f6d5 b1a3
B02,"Alekhine Defense: Hunt Variation, Lasker Simul Gambit",e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3
B02,"Alekhine Defense: Hunt Variation, Matsukevich Gambit",e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 b1c3 d5c3 d2c3 d7d6 c1g5
B02,"Alekhine Defense: Hunt Variation, Mikenas Gambit",e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3 d7d6 c3d5 e6d5 c4d5
B02,Alekhine Defense: Kmoch Variation,e2e4 g8f6 e4e5 f6d5 f1c4 d5b6 c4b3 c7c5 d2d3
B02,Alekhine Defense: Krejcik Variation,e2e4 g8f6 f1c4
B02,"Alekhine Defense: Krejcik Variation, Krejcik Gambit",e2e4 g8f6 f1c4 f6e4 c4f7
B02,Alekhine Defense: Maróczy Variation,e2e4 g8f6 d2d3
B02,Alekhine Defense: Mokele Mbembe,e2e4 g8f6 e4e5 f6e4
B02,"Alekhine Defense: Mokele Mbembe, Modern Line",e2e4 g8f6 e4e5 f6e4 d2d4 f7f6
B02,"Alekhine Defense: Mokele Mbembe, Vavra Defense",e2e4 g8f6 e4e5 f6e4 d2d4 e7e6
B02,Alekhine Defense: Normal Variation,e2e4 g8f6 e4e5 f6d5
B02,Alekhine Defense: Scandinavian Variation,e2e4 g8f6 b1c3 d7d5
B02,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",e2e4 g8f6 b1c3 d7d5 e4d5 c7c6
B02,"Alekhine Defense: Scandinavian Variation, Myers Gambit",e2e4 g8f6 b1c3 d7d5 d2d3 d5e4 c1g5
B02,Alekhine Defense: Spielmann Gambit,e2e4 g8f6 b1c3 d7d5 e4e5 f6d7 e5e6
B02,Alekhine Defense: Steiner Variation,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 b2b3
B02,Alekhine Defense: Sämisch Attack,e2e4 g8f6 e4e5 f6d5 b1c3
B02,Alekhine Defense: The Squirrel,e2e4 g8f6 e4e5 f6d5 c2c4 d5f4
B02,Alekhine Defense: Two Pawn Attack,e2e4 g8f6 e4e5 f6d5 c2c4
B02,"Alekhine Defense: Two Pawn Attack, Lasker Variation",e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5
B02,"Alekhine Defense: Two Pawns Attack, Mikenas Variation",e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3 d7d6
B02,Alekhine Defense: Welling Variation,e2e4 g8f6 e4e5 f6d5 b2b3
B02,English Opening: Achilles-Omega Gambit,e2e4 g8f6 c2c4
B02,"King's Pawn Game: Clam Variation, Radisch Gambit",e2e4 g8f6 d2d3 e7e5 f2f4 f8c5
B03,Alekhine Defense,e2e4 g8f6 e4e5 f6d5 d2d4
B03,Alekhine Defense,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6
B03,Alekhine Defense,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4
B03,Alekhine Defense: Balogh Variation,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 f1c4
B03,Alekhine Defense: Exchange Variation,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 e5d6
B03,"Alekhine Defense: Exchange Variation, Karpov Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 e5d6 c7d6 b1c3 g7g6 h2h3 f8g7 g1f3 e8g8 f1e2 b8c6 e1g1 c8f5 c1f4
B03,Alekhine Defense: Four Pawns Attack,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4
B03,"Alekhine Defense: Four Pawns Attack, Cambridge Gambit",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 g7g5
B03,"Alekhine Defense: Four Pawns Attack, Fianchetto Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 g7g6
B03,"Alekhine Defense: Four Pawns Attack, Ilyin-Zhenevsky Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 g1f3 c8g4 e5e6 f7e6 c4c5
B03,"Alekhine Defense: Four Pawns Attack, Korchnoi Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 c8f5 b1c3 e7e6 g1f3 f8e7 f1e2 e8g8 e1g1 f7f6
B03,"Alekhine Defense: Four Pawns Attack, Main Line",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 c1e3
B03,"Alekhine Defense: Four Pawns Attack, Tartakower Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 c1e3 c8f5 b1c3 e7e6 g1f3 d8d7 f1e2 e8c8 e1g1 f8e7
B03,"Alekhine Defense: Four Pawns Attack, Trifunovic Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 c8f5
B03,Alekhine Defense: Hunt Variation,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 c4c5
B03,"Alekhine Defense: Modern Variation, Alekhine Gambit",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 g1f3 c8g4 f1e2
B03,Alekhine Defense: O'Sullivan Gambit,e2e4 g8f6 e4e5 f6d5 d2d4 b7b5
B04,Alekhine Defense: Modern Variation,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3
B04,"Alekhine Defense: Modern Variation, Alburt Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6
B04,"Alekhine Defense: Modern Variation, Keres Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6 f1c4 d5b6 c4b3 f8g7 a2a4
B04,"Alekhine Defense: Modern Variation, Larsen Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d6e5
B04,"Alekhine Defense: Modern Variation, Larsen-Haakert Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 b8c6
B04,"Alekhine Defense: Modern Variation, Schmid Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d5b6
B05,"Alekhine Defense: Modern Variation, Alekhine Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 c2c4
B05,"Alekhine Defense: Modern Variation, Flohr Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 c7c6
B05,"Alekhine Defense: Modern Variation, Main Line",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4
B05,"Alekhine Defense: Modern Variation, Panov Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 h2h3
B05,"Alekhine Defense: Modern Variation, Vitolins Attack",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 c2c4 d5b6 d4d5
B06,Modern Defense,e2e4 g7g6
B06,Modern Defense,e2e4 g7g6 d2d4 f8g7
B06,Modern Defense: Anti-Modern,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f1c4 d7d6 d1e2
B06,Modern Defense: Bishop Attack,e2e4 g7g6 d2d4 f8g7 f1c4
B06,"Modern Defense: Bishop Attack, Bücker Gambit",e2e4 g7g6 d2d4 f8g7 f1c4 b7b5
B06,"Modern Defense: Bishop Attack, Monkey's Bum",e2e4 g7g6 f1c4 f8g7 d1f3 e7e6 d2d4 g7d4
B06,Modern Defense: Dunworthy Variation,e2e4 g7g6 d2d4 f8g7 c2c4 d7d5 e4d5 c7c6 d5c6 g7d4
B06,Modern Defense: Fianchetto Gambit,e2e4 g7g6 d2d4 f7f5
B06,Modern Defense: Gurgenidze Defense,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f2f4 d7d5 e4e5 h7h5
B06,"Modern Defense: Lizard Defense, Mittenberger Gambit",e2e4 g7g6 d2d4 f8g7 b1c3 d7d5
B06,Modern Defense: Masur Gambit,e2e4 g7g6 d2d4 g8h6 b1c3 f7f5 c1h6 f8h6 e4f5 e8g8
B06,Modern Defense: Modern Pterodactyl,e2e4 g7g6 d2d4 f8g7 b1c3 c7c5
B06,Modern Defense: Mongredien Defense,e2e4 g7g6 d2d4 f8g7 b1c3 b7b6
B06,Modern Defense: Mongredien Defense,e2e4 g7g6 d2d4 f8g7 g1f3 b7b6
B06,Modern Defense: Norwegian Defense,e2e4 g7g6 d2d4 g8f6
B06,"Modern Defense: Norwegian Defense, Norwegian Gambit",e2e4 g7g6 d2d4 g8f6 e4e5 f6h5 f1e2 d7d6
B06,Modern Defense: Pseudo-Austrian Attack,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f2f4
B06,"Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Declined",e2e4 g7g6 d2d4 f8g7 c2c4 c7c5 g1f3 d7d6 f1e2 d8a5
B06,Modern Defense: Standard Defense,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6
B06,Modern Defense: Standard Line,e2e4 g7g6 d2d4 f8g7 b1c3
B06,Modern Defense: Three Pawns Attack,e2e4 g7g6 d2d4 f8g7 f2f4
B06,Modern Defense: Two Knights Variation,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 g1f3
B06,"Modern Defense: Two Knights Variation, Suttles Variation",e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 g1f3 d7d6
B06,"Modern Defense: Two Knights Variation, Suttles Variation, Tal Gambit",e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 g1f3 c7c6 c1g5 d8b6 d1d2 b6b2
B06,Modern Defense: Westermann Gambit,e2e4 g7g6 d2d4 f8g7 c1d2
B06,Modern Defense: Wind Gambit,e2e4 g7g6 d2d4 f8g7 f1d3
B06,Norwegian Defense,e2e4 g7g6 d2d4 g8f6 e4e5 f6h5 g2g4 h5g7
B06,"Pterodactyl Defense: Austrian, Austriadactylus Western",e2e4 g7g6 d2d4 f8g7 f2f4 c7c5 g1f3 d8a5
B06,"Pterodactyl Defense: Austrian, Grand Prix Pterodactyl",e2e4 g7g6 b1c3 f8g7 f2f4 c7c5 g1f3 d8a5
B06,"Pterodactyl Defense: Austrian, Pteranodon",e2e4 g7g6 d2d4 f8g7 f2f4 c7c5 c2c3 d8a5
B06,"Pterodactyl Defense: Central, Anhanguera",e2e4 g7g6 d2d4 f8g7 c2c4 c7c5 b1c3 d7d6 c1e3 d8a5
B06,"Pterodactyl Defense: Central, Benoni Quetzalcoatlus",e2e4 g7g6 d2d4 f8g7 c2c4 c7c5 d4d5 d7d6 b1c3 d8a5
B06,"Pterodactyl Defense: Central, Quetzalcoatlus Gambit",e2e4 g7g6 d2d4 f8g7 c2c4 c7c5 b1c3 d7d6 d4c5 d8a5
B06,"Pterodactyl Defense: Eastern, Anhanguera",e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 c1e3
