eco,name,moves
D00,Queen's Pawn Game: Mason Attack,d2d4 d7d5 f2f4
D00,Queen's Pawn Game: Mason Variation,d2d4 d7d5 c1f4
D00,Queen's Pawn Game: Morris Countergambit,d2d4 d7d5 c1f4 c7c5 e2e4
D00,Queen's Pawn Game: Steinitz Countergambit,d2d4 d7d5 c1f4 c7c5
D00,Queen's Pawn Game: Stonewall Attack,d2d4 d7d5 e2e3 g8f6 f1d3
D00,"Queen's Pawn Game: Veresov Attack, Alburt Defense",d2d4 d7d5 b1c3 c8f5
D00,"Queen's Pawn Game: Veresov Attack, Anti-Veresov",d2d4 d7d5 b1c3 c8g4
D00,"Queen's Pawn Game: Veresov Attack, Irish Gambit",d2d4 d7d5 b1c3 c7c5
D00,"Queen's Pawn Game: Veresov Attack, Shaviliuk Gambit",d2d4 d7d5 b1c3 e7e5
D00,"Queen's Pawn Game: Veresov Attack, Shropshire Defense",d2d4 d7d5 b1c3 h7h5
D00,Queen's Pawn Game: Zurich Gambit,d2d4 d7d5 g2g4
D01,"Queen's Pawn Game: Veresov Attack, Boyce Defense",d2d4 g8f6 b1c3 d7d5 c1g5 f6e4
D01,"Queen's Pawn Game: Veresov Attack, Richter Variation",d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 f2f3
D01,"Queen's Pawn Game: Veresov Attack, Two Knights System",d2d4 g8f6 b1c3 d7d5 c1g5 b8d7 g1f3
D01,"Queen's Pawn Game: Veresov Attack, Two Knights System, Grünfeld Defense",d2d4 g8f6 b1c3 d7d5 c1g5 b8d7 g1f3 g7g6
D01,"Queen's Pawn Game: Veresov Attack, Veresov Variation",d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 g5f6
D01,Rapport-Jobava System,d2d4 d7d5 b1c3 g8f6 c1f4
D01,Richter-Veresov Attack,d2d4 g8f6 b1c3 d7d5 c1g5
D01,Richter-Veresov Attack,d2d4 g8f6 b1c3 d7d5 c1g5 c8f5
D01,Veresov Opening: Malich Gambit,d2d4 g8f6 b1c3 d7d5 c1g5 c7c5 g5f6 g7f6 e2e4 d5e4 d4d5
D02,London System: Poisoned Pawn Variation,d2d4 g8f6 g1f3 d7d5 c1f4 c7c5 e2e3 d8b6 b1c3
D02,Queen's Gambit Accepted: Rosenthal Variation,d2d4 d7d5 g1f3 e7e6 c2c4 d5c4
D02,"Queen's Gambit Declined: Baltic Defense, Pseudo-Slav",d2d4 d7d5 g1f3 c8f5 c2c4 e7e6 b1c3 c7c6
D02,Queen's Pawn Game: Anti-Torre,g1f3 d7d5 d2d4 c8g4
D02,Queen's Pawn Game: Chandler Gambit,d2d4 d7d5 g1f3 c7c5 g2g3 c5d4 f1g2
D02,Queen's Pawn Game: Chigorin Variation,d2d4 d7d5 g1f3 b8c6
D02,Queen's Pawn Game: Krause Variation,d2d4 d7d5 g1f3 c7c5
D02,"Queen's Pawn Game: Levitsky Attack, Euwe Variation, Modern Line",d2d4 d7d5 g1f3 c7c6 c1g5 h7h6 g5h4 d8b6
D02,Queen's Pawn Game: London System,d2d4 d7d5 g1f3 g8f6 c1f4
D02,Queen's Pawn Game: Symmetrical Variation,d2d4 d7d5 g1f3 g8f6
D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",d2d4 d7d5 g1f3 g8f6 g2g3
D02,Queen's Pawn Game: Zilbermints Countergambit,d2d4 d7d5 g1f3 g8f6 c2c4 b7b5
D02,Queen's Pawn Game: Zukertort Variation,d2d4 d7d5 g1f3
D03,Queen's Pawn Game: Torre Attack,d2d4 d7d5 g1f3 g8f6 c1g5
D03,"Queen's Pawn Game: Torre Attack, Gossip Variation",d2d4 d7d5 g1f3 g8f6 c1g5 f6e4
